cluster,genomes_present,family_type,gene,product,go_function,ontology_term
GCF_000597845.1|WP_000015837.1,11,Core,yjeH,L-methionine/branched-chain amino acid transporter,transmembrane transporter activity|0022857||IEA,"GO:0055085,GO:0022857,GO:0016020"
GCF_000597845.1|WP_000015990.1,11,Core,fhuD,Fe(3+)-hydroxamate ABC transporter substrate-binding protein FhuD,,
GCF_000597845.1|WP_000016560.1,11,Core,murG,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity|0050511||IEA,"GO:0009252,GO:0050511"
GCF_000597845.1|WP_000016907.1,11,Core,amiC,N-acetylmuramoyl-L-alanine amidase AmiC,,
GCF_000597845.1|WP_000017106.1,11,Core,ruvX,Holliday junction resolvase RuvX,,GO:0006364
GCF_000597845.1|WP_000017354.1,11,Core,plsB,glycerol-3-phosphate 1-O-acyltransferase PlsB,glycerol-3-phosphate O-acyltransferase activity|0004366||IEA,"GO:0008654,GO:0004366"
GCF_000597845.1|WP_000017552.1,11,Core,,hypothetical protein,,
GCF_000597845.1|WP_000017703.1,11,Core,hybB,Ni/Fe-hydrogenase cytochrome b subunit,,
GCF_000597845.1|WP_000018003.1,11,Core,nfeR,DNA-binding transcriptional regulator NfeR,,
GCF_000597845.1|WP_000018329.1,1,Singleton,,aminoglycoside O-phosphotransferase APH(3')-Ia,,
GCF_000597845.1|WP_000018413.1,9,Accessory,paaI,hydroxyphenylacetyl-CoA thioesterase PaaI,thiolester hydrolase activity|0016790||IEA,"GO:0010124,GO:0016790"
GCF_000597845.1|WP_000018588.1,11,Core,pheS,phenylalanine--tRNA ligase subunit alpha,"nucleotide binding|0000166||IEA,phenylalanine-tRNA ligase activity|0004826||IEA,ATP binding|0005524||IEA","GO:0006432,GO:0000166,GO:0004826,GO:0005524,GO:0005737"
GCF_000597845.1|WP_000018633.1,11,Core,ydcY,DUF2526 family protein YdcY,,
GCF_000597845.1|WP_000018760.1,11,Core,yghA,NADP(+)-dependent aldehyde reductase,,
GCF_000597845.1|WP_000019358.1,11,Core,soxS,superoxide response transcriptional regulator SoxS,,
GCF_000597845.1|WP_000019407.1,4,Accessory,,IS5-like element IS5 family transposase,transposase activity|0004803||IEA,"GO:0006313,GO:0004803"
GCF_000597845.1|WP_000019588.1,11,Core,cmoA,carboxy-S-adenosyl-L-methionine synthase CmoA,,
GCF_000597845.1|WP_000019655.1,11,Core,yhdX,amino acid ABC transporter permease,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA","GO:0006865,GO:0042626,GO:0140359,GO:0016020,GO:0043190"
GCF_000597845.1|WP_000019827.1,11,Core,narK,nitrate transporter NarK,,
GCF_000597845.1|WP_000019869.1,11,Core,cyoD,cytochrome o ubiquinol oxidase subunit IV,,
GCF_000597845.1|WP_000019944.1,11,Core,rcnR,Ni(II)/Co(II)-binding transcriptional repressor RcnR,,
GCF_000597845.1|WP_000020078.1,11,Core,kch,voltage-gated potassium channel protein,,
GCF_000597845.1|WP_000020163.1,11,Core,ycgR,flagellar brake protein YcgR,cyclic-di-GMP binding|0035438||IEA,"GO:0071945,GO:0035438"
GCF_000597845.1|WP_000020467.1,11,Core,flgD,flagellar hook assembly protein FlgD,,
GCF_000597845.1|WP_000020749.1,11,Core,era,GTPase Era,"RNA binding|0003723||IEA,GTP binding|0005525||IEA","GO:0003723,GO:0005525"
GCF_000597845.1|WP_000020880.1,11,Core,flgM,flagellar biosynthesis anti-sigma factor FlgM,,GO:0045892
GCF_000597845.1|WP_000021036.1,11,Core,cysA,sulfate/thiosulfate ABC transporter ATP-binding protein CysA,"ATP binding|0005524||IEA,ABC-type sulfate transporter activity|0015419||IEA","GO:1902358,GO:0005524,GO:0015419,GO:0016020,GO:0043190"
GCF_000597845.1|WP_000022442.1,11,Core,mscL,large-conductance mechanosensitive channel protein MscL,,
GCF_000597845.1|WP_000023081.1,11,Core,coaA,type I pantothenate kinase,pantothenate kinase activity|0004594||IEA,"GO:0015937,GO:0004594"
GCF_000597845.1|WP_000023635.1,10,Accessory,yahD,ankyrin repeat domain-containing protein,protein binding|0005515||IEA,GO:0005515
GCF_000597845.1|WP_000024560.1,11,Core,cbpM,chaperone modulator CbpM,,
GCF_000597845.1|WP_000025034.1,1,Singleton,wzt,O9 family O-antigen export ABC transporter ATP-binding subunit,,
GCF_000597845.1|WP_000025458.1,11,Core,sucD,succinate--CoA ligase subunit alpha,catalytic activity|0003824||IEA,GO:0003824
GCF_000597845.1|WP_000025892.1,11,Core,bcsA,UDP-forming cellulose synthase catalytic subunit,"cellulose synthase (UDP-forming) activity|0016760||IEA,cyclic-di-GMP binding|0035438||IEA","GO:0006011,GO:0030244,GO:0016760,GO:0035438,GO:0016020"
GCF_000597845.1|WP_000026047.1,11,Core,hemD,uroporphyrinogen-III synthase,uroporphyrinogen-III synthase activity|0004852||IEA,"GO:0006780,GO:0004852"
GCF_000597845.1|WP_000026117.1,11,Core,glcD,glycolate oxidase subunit GlcD,"(S)-2-hydroxy-acid oxidase activity|0003973||IEA,FAD binding|0071949||IEA","GO:0003973,GO:0071949,GO:0009339"
GCF_000597845.1|WP_000027705.1,11,Core,fdhE,formate dehydrogenase accessory protein FdhE,,
GCF_000597845.1|WP_000028114.1,10,Accessory,melB,melibiose:sodium transporter MelB,"symporter activity|0015293||IEA,transmembrane transporter activity|0022857||IEA","GO:0006814,GO:0008643,GO:0015293,GO:0022857,GO:0016020"
GCF_000597845.1|WP_000028540.1,11,Core,yciC,YciC family protein,,
GCF_000597845.1|WP_000028878.1,11,Core,rplL,50S ribosomal protein L7/L12,structural constituent of ribosome|0003735||IEA,"GO:0006412,GO:0003735,GO:0005840"
GCF_000597845.1|WP_000028953.1,11,Core,iscA,iron-sulfur cluster assembly protein IscA,,
GCF_000597845.1|WP_000029611.1,11,Core,norV,anaerobic nitric oxide reductase flavorubredoxin,"electron transfer activity|0009055||IEA,FMN binding|0010181||IEA,nitric oxide reductase activity|0016966||IEA,metal ion binding|0046872||IEA","GO:0009055,GO:0010181,GO:0016966,GO:0046872"
GCF_000597845.1|WP_000030016.1,11,Core,kdsC,3-deoxy-manno-octulosonate-8-phosphatase KdsC,hydrolase activity%2C acting on ester bonds|0016788||IEA,GO:0016788
GCF_000597845.1|WP_000030537.1,11,Core,lptC,LPS export ABC transporter periplasmic protein LptC,,
GCF_000597845.1|WP_000030901.1,11,Core,yfcZ,YfcZ/YiiS family protein,,
GCF_000597845.1|WP_000031783.1,11,Core,tuf,elongation factor Tu,"translation elongation factor activity|0003746||IEA,GTP binding|0005525||IEA","GO:0006414,GO:0003746,GO:0005525"
GCF_000597845.1|WP_000032581.1,9,Accessory,yigF,DUF2628 domain-containing protein,,
GCF_000597845.1|WP_000032691.1,11,Core,gph,phosphoglycolate phosphatase,phosphoglycolate phosphatase activity|0008967||IEA,"GO:0005975,GO:0008967"
GCF_000597845.1|WP_000032935.1,11,Core,narG,nitrate reductase subunit alpha,nitrate reductase activity|0008940||IEA,"GO:0042126,GO:0008940,GO:0009325"
GCF_000597845.1|WP_000033328.1,11,Core,yfcV,fimbrial protein,,"GO:0007155,GO:0009289"
GCF_000597845.1|WP_000033487.1,11,Core,nrfF,heme lyase NrfEFG subunit NrfF,,
GCF_000597845.1|WP_000034372.1,11,Core,fbaA,class II fructose-bisphosphate aldolase,"fructose-bisphosphate aldolase activity|0004332||IEA,zinc ion binding|0008270||IEA","GO:0005975,GO:0006096,GO:0004332,GO:0008270"
GCF_000597845.1|WP_000034602.1,11,Core,ybgE,cyd operon protein YbgE,,
GCF_000597845.1|WP_000035581.1,11,Core,recQ,ATP-dependent DNA helicase RecQ,DNA helicase activity|0003678||IEA,"GO:0006310,GO:0003678"
GCF_000597845.1|WP_000036371.1,11,Core,cheB,protein-glutamate methylesterase/protein glutamine deamidase,,
GCF_000597845.1|WP_000036723.1,11,Core,eno,phosphopyruvate hydratase,"magnesium ion binding|0000287||IEA,phosphopyruvate hydratase activity|0004634||IEA","GO:0006096,GO:0000287,GO:0004634,GO:0000015"
GCF_000597845.1|WP_000037562.1,11,Core,kdgK,2-dehydro-3-deoxygluconokinase,,
GCF_000597845.1|WP_000037608.1,10,Accessory,yhbO,protein/nucleic acid deglycase,,
GCF_000597845.1|WP_000039688.1,10,Accessory,ygcE,FGGY-family carbohydrate kinase,"ATP binding|0005524||IEA,carbohydrate kinase activity|0019200||IEA","GO:0005975,GO:0016310,GO:0005524,GO:0019200"
GCF_000597845.1|WP_000039862.1,11,Core,cysH,phosphoadenosine phosphosulfate reductase,phosphoadenylyl-sulfate reductase (thioredoxin) activity|0004604||IEA,"GO:0019379,GO:0004604"
GCF_000597845.1|WP_000039881.1,9,Accessory,paaX,phenylacetic acid degradation operon negative regulatory protein PaaX,,GO:0006351
GCF_000597845.1|WP_000040169.1,11,Core,yfiH,purine nucleoside phosphorylase YfiH,"adenosine deaminase activity|0004000||IEA,purine-nucleoside phosphorylase activity|0004731||IEA,protein homodimerization activity|0042803||IEA","GO:0004000,GO:0004731,GO:0042803"
GCF_000597845.1|WP_000040208.1,11,Core,psuG,pseudouridine-5'-phosphate glycosidase,,
GCF_000597845.1|WP_000041681.1,11,Core,ynfE,selenate/tellurate reductase subunit YnfE,,
GCF_000597845.1|WP_000041970.1,11,Core,rsgA,small ribosomal subunit biogenesis GTPase RsgA,"GTPase activity|0003924||IEA,GTP binding|0005525||IEA","GO:0003924,GO:0005525"
GCF_000597845.1|WP_000042533.1,11,Core,uvrB,excinuclease ABC subunit UvrB,"DNA binding|0003677||IEA,ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA","GO:0006289,GO:0003677,GO:0005524,GO:0016887,GO:0009380"
GCF_000597845.1|WP_000042632.1,11,Core,lipA,lipoyl synthase,"lipoate synthase activity|0016992||IEA,4 iron%2C 4 sulfur cluster binding|0051539||IEA,S-adenosyl-L-methionine binding|1904047||IEA","GO:0009107,GO:0016992,GO:0051539,GO:1904047"
GCF_000597845.1|WP_000042900.1,11,Core,yhhM,DUF2500 domain-containing protein,,
GCF_000597845.1|WP_000043335.1,11,Core,rimM,ribosome maturation factor RimM,ribosome binding|0043022||IEA,"GO:0006364,GO:0043022,GO:0005840"
GCF_000597845.1|WP_000044314.1,9,Accessory,mhpF,acetaldehyde dehydrogenase,,
GCF_000597845.1|WP_000044843.1,11,Core,bioD,dethiobiotin synthase,"magnesium ion binding|0000287||IEA,dethiobiotin synthase activity|0004141||IEA,ATP binding|0005524||IEA","GO:0009102,GO:0000287,GO:0004141,GO:0005524"
GCF_000597845.1|WP_000045305.1,11,Core,hemL,glutamate-1-semialdehyde 2%2C1-aminomutase,glutamate-1-semialdehyde 2%2C1-aminomutase activity|0042286||IEA,"GO:0033014,GO:0042286"
GCF_000597845.1|WP_000045450.1,11,Core,ybhN,lysylphosphatidylglycerol synthase domain-containing protein,,
GCF_000597845.1|WP_000045744.1,11,Core,nudE,ADP compounds hydrolase NudE,hydrolase activity|0016787||IEA,GO:0016787
GCF_000597845.1|WP_000046281.1,11,Core,ygiF,inorganic triphosphatase,,
GCF_000597845.1|WP_000047170.1,11,Core,alaS,alanine--tRNA ligase,"nucleotide binding|0000166||IEA,alanine-tRNA ligase activity|0004813||IEA","GO:0006419,GO:0000166,GO:0004813,GO:0005737"
GCF_000597845.1|WP_000048252.1,11,Core,yccX,acylphosphatase,acylphosphatase activity|0003998||IEA,GO:0003998
GCF_000597845.1|WP_000048324.1,4,Accessory,,exonuclease,,
GCF_000597845.1|WP_000048950.1,11,Core,azoR,FMN-dependent NADH-azoreductase,,
GCF_000597845.1|WP_000049208.1,11,Core,nirB,NADPH-nitrite reductase large subunit,,
GCF_000597845.1|WP_000050139.1,11,Core,coaBC,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,"phosphopantothenate--cysteine ligase activity|0004632||IEA,phosphopantothenoylcysteine decarboxylase activity|0004633||IEA,FMN binding|0010181||IEA","GO:0015937,GO:0015941,GO:0004632,GO:0004633,GO:0010181"
GCF_000597845.1|WP_000050265.1,11,Core,wzxE,lipid III flippase WzxE,,"GO:0009246,GO:0016020"
GCF_000597845.1|WP_000050789.1,11,Core,yejK,nucleoid-associated protein YejK,,GO:0009295
GCF_000597845.1|WP_000051560.1,11,Core,ldcA,muramoyltetrapeptide carboxypeptidase,,
GCF_000597845.1|WP_000051841.1,11,Core,aaeX,p-hydroxybenzoic acid efflux pump operon protein AaeX,,
GCF_000597845.1|WP_000052206.1,9,Accessory,prpB,methylisocitrate lyase,methylisocitrate lyase activity|0046421||IEA,"GO:0019629,GO:0046421"
GCF_000597845.1|WP_000052796.1,11,Core,ahpC,alkyl hydroperoxide reductase subunit C,NADH-dependent peroxiredoxin activity|0102039||IEA,"GO:0006979,GO:0102039"
GCF_000597845.1|WP_000053099.1,11,Core,uup,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,GO:0005524
GCF_000597845.1|WP_000053415.1,9,Accessory,galK,galactokinase,"galactokinase activity|0004335||IEA,ATP binding|0005524||IEA","GO:0006012,GO:0046835,GO:0004335,GO:0005524"
GCF_000597845.1|WP_000055072.1,11,Core,ppa,inorganic diphosphatase,inorganic diphosphate phosphatase activity|0004427||IEA,"GO:0006796,GO:0004427"
GCF_000597845.1|WP_000055746.1,11,Core,accA,acetyl-CoA carboxylase carboxyl transferase subunit alpha,acetyl-CoA carboxylase activity|0003989||IEA,"GO:0006633,GO:0003989,GO:0009317"
GCF_000597845.1|WP_000056003.1,11,Core,ssuD,FMNH2-dependent alkanesulfonate monooxygenase,"alkanesulfonate monooxygenase activity|0008726||IEA,FMN binding|0010181||IEA","GO:0006790,GO:0008726,GO:0010181"
GCF_000597845.1|WP_000056442.1,11,Core,ybiR,anion transporter,,
GCF_000597845.1|WP_000056760.1,11,Core,ulaD,3-keto-L-gulonate-6-phosphate decarboxylase UlaD,,
GCF_000597845.1|WP_000057138.1,11,Core,serC,3-phosphoserine/phosphohydroxythreonine transaminase,"catalytic activity|0003824||IEA,O-phospho-L-serine:2-oxoglutarate aminotransferase activity|0004648||IEA","GO:0006564,GO:0003824,GO:0004648"
GCF_000597845.1|WP_000058717.1,1,Singleton,,DMT family transporter,transmembrane transporter activity|0022857||IEA,"GO:0055085,GO:0022857,GO:0016020"
GCF_000597845.1|WP_000059111.1,11,Core,dnaA,chromosomal replication initiator protein DnaA,"DNA binding|0003677||IEA,DNA replication origin binding|0003688||IEA,ATP binding|0005524||IEA","GO:0006270,GO:0006275,GO:0003677,GO:0003688,GO:0005524"
GCF_000597845.1|WP_000059307.1,11,Core,ygcU,FAD-binding oxidoreductase,"oxidoreductase activity|0016491||IEA,FAD binding|0071949||IEA","GO:0016491,GO:0071949"
GCF_000597845.1|WP_000059388.1,11,Core,ftsP,cell division protein FtsP,oxidoreductase activity|0016491||IEA,"GO:0043093,GO:0016491"
GCF_000597845.1|WP_000059466.1,11,Core,rpsO,30S ribosomal protein S15,structural constituent of ribosome|0003735||IEA,"GO:0006412,GO:0003735,GO:0005840"
GCF_000597845.1|WP_000059908.1,11,Core,phnP,phosphonate metabolism protein PhnP,phosphoric diester hydrolase activity|0008081||IEA,"GO:0019700,GO:0008081"
GCF_000597845.1|WP_000060112.1,11,Core,recF,DNA replication/repair protein RecF,"single-stranded DNA binding|0003697||IEA,ATP binding|0005524||IEA","GO:0006260,GO:0006281,GO:0006310,GO:0009432,GO:0003697,GO:0005524"
GCF_000597845.1|WP_000060506.1,11,Core,tisB,type I toxin-antitoxin system toxin TisB,,
GCF_000597845.1|WP_000060978.1,11,Core,tamB,autotransporter assembly complex protein TamB,,"GO:0009306,GO:0089705"
GCF_000597845.1|WP_000062312.1,11,Core,rof,Rho-binding antiterminator,,
GCF_000597845.1|WP_000062457.1,11,Core,citG,triphosphoribosyl-dephospho-CoA synthase CitG,,
GCF_000597845.1|WP_000062611.1,11,Core,rpsH,30S ribosomal protein S8,structural constituent of ribosome|0003735||IEA,"GO:0006412,GO:0003735,GO:0005840"
GCF_000597845.1|WP_000062997.1,11,Core,nuoA,NADH-quinone oxidoreductase subunit NuoA,,
GCF_000597845.1|WP_000063517.1,11,Core,rhaT,L-rhamnose/proton symporter RhaT,rhamnose transmembrane transporter activity|0015153||IEA,"GO:0008645,GO:0015153"
GCF_000597845.1|WP_000063978.1,11,Core,hyaE,hydrogenase-1 operon protein HyaE,,
GCF_000597845.1|WP_000064738.1,11,Core,norW,NADH:flavorubredoxin reductase NorW,oxidoreductase activity%2C acting on iron-sulfur proteins as donors%2C NAD or NADP as acceptor|0016731||IEA,GO:0016731
GCF_000597845.1|WP_000065253.1,11,Core,rplS,50S ribosomal protein L19,structural constituent of ribosome|0003735||IEA,"GO:0006412,GO:0003735,GO:0000311,GO:0022625"
GCF_000597845.1|WP_000065430.1,11,Core,mdaB,NADPH:quinone oxidoreductase MdaB,,
GCF_000597845.1|WP_000066484.1,11,Core,cspB,cold shock-like protein CspB,,
GCF_000597845.1|WP_000066628.1,11,Core,fumB,class I fumarate hydratase,,
GCF_000597845.1|WP_000067401.1,11,Core,hycG,formate hydrogenlyase subunit HycG,,
GCF_000597845.1|WP_000067755.1,11,Core,rarA,replication-associated recombination protein RarA,,
GCF_000597845.1|WP_000067822.1,11,Core,yeaW,carnitine monooxygenase%2C oxygenase subunit YeaW,,
GCF_000597845.1|WP_000068079.1,11,Core,tdk,thymidine kinase,,
GCF_000597845.1|WP_000068457.1,11,Core,folX,dihydroneopterin triphosphate 2'-epimerase,dihydroneopterin aldolase activity|0004150||IEA,"GO:0006760,GO:0004150"
GCF_000597845.1|WP_000068679.1,11,Core,trpR,trp operon repressor,"DNA-binding transcription factor activity|0003700||IEA,sequence-specific DNA binding|0043565||IEA","GO:0006355,GO:0003700,GO:0043565"
GCF_000597845.1|WP_000068701.1,11,Core,gcvT,glycine cleavage system aminomethyltransferase GcvT,aminomethyltransferase activity|0004047||IEA,"GO:0019464,GO:0004047,GO:0005737"
GCF_000597845.1|WP_000068828.1,11,Core,ftsN,cell division protein FtsN,peptidoglycan binding|0042834||IEA,GO:0042834
GCF_000597845.1|WP_000068922.1,11,Core,dsbD,protein-disulfide reductase DsbD,,
GCF_000597845.1|WP_000069375.1,11,Core,ppsA,phosphoenolpyruvate synthase,"ATP binding|0005524||IEA,pyruvate%2C water dikinase activity|0008986||IEA,transferase activity%2C transferring phosphorus-containing groups|0016772||IEA","GO:0006090,GO:0016310,GO:0005524,GO:0008986,GO:0016772"
GCF_000597845.1|WP_000070131.1,11,Core,ybhS,ABC transporter permease,ABC-type transporter activity|0140359||IEA,"GO:0140359,GO:0016020"
GCF_000597845.1|WP_000070621.1,11,Core,elaB,stress response protein ElaB,,
GCF_000597845.1|WP_000071134.1,11,Core,glmM,phosphoglucosamine mutase,"magnesium ion binding|0000287||IEA,phosphoglucosamine mutase activity|0008966||IEA,intramolecular phosphotransferase activity|0016868||IEA","GO:0005975,GO:0000287,GO:0008966,GO:0016868"
GCF_000597845.1|WP_000071554.1,9,Accessory,,EscR/YscR/HrcR family type III secretion system export apparatus protein,,
GCF_000597845.1|WP_000072067.1,11,Core,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,"DNA binding|0003677||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,ATP binding|0005524||IEA","GO:0006265,GO:0003677,GO:0003918,GO:0005524,GO:0005694"
GCF_000597845.1|WP_000072850.1,9,Accessory,yibA,HEAT repeat domain-containing protein,,
GCF_000597845.1|WP_000073223.1,11,Core,scpA,methylmalonyl-CoA mutase,"methylmalonyl-CoA mutase activity|0004494||IEA,cobalamin binding|0031419||IEA,metal ion binding|0046872||IEA","GO:0004494,GO:0031419,GO:0046872"
GCF_000597845.1|WP_000073393.1,9,Accessory,paaB,1%2C2-phenylacetyl-CoA epoxidase subunit PaaB,,GO:0010124
GCF_000597845.1|WP_000073590.1,11,Core,ugpQ,glycerophosphodiester phosphodiesterase,phosphoric diester hydrolase activity|0008081||IEA,"GO:0006629,GO:0008081"
GCF_000597845.1|WP_000074172.1,11,Core,mdtG,multidrug efflux MFS transporter MdtG,transmembrane transporter activity|0022857||IEA,"GO:0055085,GO:0022857"
GCF_000597845.1|WP_000074527.1,11,Core,alaA,alanine transaminase AlaA,,
GCF_000597845.1|WP_000074859.1,10,Accessory,yehL,ATP-binding protein,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA","GO:0005524,GO:0016887"
GCF_000597845.1|WP_000075744.1,11,Core,ftsQ,cell division protein FtsQ,,GO:0090529
GCF_000597845.1|WP_000075876.1,11,Core,tesB,acyl-CoA thioesterase II,,
GCF_000597845.1|WP_000076001.1,11,Core,yfgG,YfgG family protein,,
GCF_000597845.1|WP_000076233.1,9,Accessory,codB,cytosine permease,cytosine transmembrane transporter activity|0015209||IEA,"GO:0055085,GO:0015209,GO:0016020"
GCF_000597845.1|WP_000076376.1,9,Accessory,ymfA,DUF3592 domain-containing protein,,
GCF_000597845.1|WP_000078043.1,11,Core,yieH,6-phosphogluconate phosphatase,,
GCF_000597845.1|WP_000078754.1,11,Core,celF,6-phospho-beta-glucosidase,,
GCF_000597845.1|WP_000079520.1,11,Core,yohF,SDR family oxidoreductase,oxidoreductase activity|0016491||IEA,GO:0016491
GCF_000597845.1|WP_000080339.1,7,Accessory,,FAD-dependent oxidoreductase,,
