strain,genome,family,gene,product,go_function,ontology_term
ST540,GCF_000597845.1,GCF_000597845.1|WP_000547787.1,wbdA,polymannosyl GlcNAc-diphospho-ditrans%2Coctacis-undecaprenol 2%2C3-alpha-mannosylpolymerase WbdA,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000594911.1,,AbiJ-NTD4 domain-containing protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000638547.1,,protease FtsH-inhibitory lysogeny factor CIII,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000639434.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000642771.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000687870.1,,helix-turn-helix domain-containing protein,DNA binding|0003677||IEA,GO:0003677
ST540,GCF_000597845.1,GCF_000597845.1|WP_000719051.1,,DUF2164 domain-containing protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000720960.1,ynfN,protein YnfN,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000725700.1,,STY1053 family phage-associated protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000732292.1,merP,mercury resistance system periplasmic binding protein MerP,mercury ion binding|0045340||IEA,"GO:0046689,GO:0045340,GO:0042597"
ST540,GCF_000597845.1,GCF_000597845.1|WP_000804064.1,tet(A),tetracycline efflux MFS transporter Tet(A),tetracycline transmembrane transporter activity|0008493||IEA,"GO:0015904,GO:0008493"
ST540,GCF_000597845.1,GCF_000597845.1|WP_000880559.1,,helicase RepA family protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000911982.1,,HEAT repeat domain-containing protein,protein binding|0005515||IEA,GO:0005515
ST540,GCF_000597845.1,GCF_000597845.1|WP_000950963.1,,protein NinF,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000991832.1,,S-4TM family putative pore-forming effector,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000993386.1,merE,broad-spectrum mercury transporter MerE,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001001273.1,,anti-CBASS protein Acb1 family protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001082319.1,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001104448.1,,phosphatase PAP2 family protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001138014.1,,Tn3-like element TnAs1 family transposase,transposase activity|0004803||IEA,"GO:0006313,GO:0004803"
ST540,GCF_000597845.1,GCF_000597845.1|WP_001161724.1,,fimbrial protein,,"GO:0007155,GO:0009289"
ST540,GCF_000597845.1,GCF_000597845.1|WP_001243355.1,kil,host cell division inhibitory peptide Kil,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001261287.1,vapB,type II toxin-antitoxin system VapB family antitoxin,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001262765.1,,GmrSD restriction endonuclease domain-containing protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001277456.1,merD,mercury resistance co-regulator MerD,DNA binding|0003677||IEA,"GO:0006355,GO:0045892,GO:0046689,GO:0003677"
ST540,GCF_000597845.1,GCF_000597845.1|WP_001294663.1,,mercuric transport protein MerT,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001299721.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001300294.1,,EAL domain-containing protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001310941.1,wzm,O9 family O-antigen export ABC transporter permease subunit,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001324699.1,,TnsD family Tn7-like transposition protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001340589.1,merC,organomercurial transporter MerC,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001351729.1,,cysteine hydrolase family protein,hydrolase activity|0016787||IEA,GO:0016787
ST540,GCF_000597845.1,GCF_000597845.1|WP_001454499.1,,conjugal transfer protein TrbD,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001505085.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001505086.1,,IS6-like element IS26 family transposase,transposase activity|0004803||IEA,"GO:0006313,GO:0004803"
ST540,GCF_000597845.1,GCF_000597845.1|WP_001548452.1,,Cro/CI family transcriptional regulator,DNA binding|0003677||IEA,"GO:0006355,GO:0003677"
ST540,GCF_000597845.1,GCF_000597845.1|WP_001548453.1,,CII family transcriptional regulator,DNA binding|0003677||IEA,"GO:0006355,GO:0003677"
ST540,GCF_000597845.1,GCF_000597845.1|WP_001741958.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_001774176.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_002435181.1,,ATP-binding protein,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA","GO:0005524,GO:0016887"
ST540,GCF_000597845.1,GCF_000597845.1|WP_004218030.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_004884204.1,,terminase large subunit domain-containing protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_012542609.1,,HP1 family phage holin,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_013023899.1,,abortive infection family protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_015980176.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_016244976.1,,ATP-dependent Clp protease proteolytic subunit,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_016529276.1,gamL,host nuclease inhibitor GamL,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_017898838.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_019704100.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_019725100.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_021312714.1,,PBSX family phage terminase large subunit,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_021518661.1,,NUDIX hydrolase,"hydrolase activity%2C acting on acid anhydrides|0016817||IEA,metal ion binding|0046872||IEA","GO:0009132,GO:0016817,GO:0046872"
ST540,GCF_000597845.1,GCF_000597845.1|WP_021518663.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_021518664.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_021518667.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_021518669.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_021536850.1,,type I restriction endonuclease subunit R,"DNA binding|0003677||IEA,helicase activity|0004386||IEA,ATP binding|0005524||IEA,type I site-specific deoxyribonuclease activity|0009035||IEA,ATP hydrolysis activity|0016887||IEA","GO:0009307,GO:0003677,GO:0004386,GO:0005524,GO:0009035,GO:0016887"
ST540,GCF_000597845.1,GCF_000597845.1|WP_021536851.1,,restriction endonuclease subunit S,DNA binding|0003677||IEA,"GO:0006304,GO:0003677"
ST540,GCF_000597845.1,GCF_000597845.1|WP_021571900.1,,glycosyltransferase family 4 protein,glycosyltransferase activity|0016757||IEA,"GO:0006486,GO:0016757"
ST540,GCF_000597845.1,GCF_000597845.1|WP_021571902.1,,methyltransferase domain-containing protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_021571916.1,,capsule assembly Wzi family protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269760.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269761.1,,ubiquitin-activating E1 FCCH domain-containing protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269762.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269763.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269764.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269765.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269766.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269767.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269768.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269769.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269770.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269771.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269772.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269777.1,,DnaB-like helicase C-terminal domain-containing protein,"DNA helicase activity|0003678||IEA,ATP binding|0005524||IEA","GO:0006260,GO:0003678,GO:0005524"
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269778.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269780.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269781.1,,Rad52/Rad22 family DNA repair protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269783.1,,phage anti-RecBCD protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269784.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269785.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269786.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269809.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269839.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269843.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269855.1,,PAS domain-containing protein,protein binding|0005515||IEA,"GO:0007165,GO:0005515"
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269858.1,traC,type IV secretion system protein TraC,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269861.1,trbA,conjugal transfer protein TrbA,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269918.1,,Wzz/FepE/Etk N-terminal domain-containing protein,,"GO:0009103,GO:0016020"
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269934.1,,glycine-rich domain-containing protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269936.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269939.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269952.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269957.1,,phage head morphogenesis protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269962.1,,antiterminator Q family protein,DNA binding|0003677||IEA,"GO:0060567,GO:0003677"
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269963.1,,recombination protein NinG,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269964.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269966.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269967.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269973.1,,replication protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269975.1,,DUF6932 family protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269976.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269979.1,bet,phage recombination protein Bet,,GO:0006310
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269980.1,,lambda exonuclease family protein,"exonuclease activity|0004527||IEA,metal ion binding|0046872||IEA","GO:0004527,GO:0046872"
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269982.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025269998.1,,DUF1367 family protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025270003.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025270004.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025270009.1,,J domain-containing protein,protein binding|0005515||IEA,"GO:0006457,GO:0005515"
ST540,GCF_000597845.1,GCF_000597845.1|WP_025270021.1,,phage terminase large subunit family protein,ATP hydrolysis activity|0016887||IEA,GO:0016887
ST540,GCF_000597845.1,GCF_000597845.1|WP_025270048.1,,polymorphic toxin type 34 domain-containing protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_025297252.1,,DUF551 domain-containing protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_038427684.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_042336691.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_061583830.1,,surface exclusion protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_071781657.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_071826091.1,,IS1 family transposase,,GO:0006313
ST540,GCF_000597845.1,GCF_000597845.1|WP_122998581.1,lysC,Rz1-like lysis system protein LysC,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_140414703.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_161953880.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_164686900.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_225104008.1,,glycine-rich domain-containing protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_225376421.1,,type II toxin-antitoxin system ParD family antitoxin,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_244437905.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_244437906.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_244437916.1,,TolB family protein,protein binding|0005515||IEA,"GO:0005515,GO:0030288"
ST540,GCF_000597845.1,GCF_000597845.1|WP_259652481.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_276323152.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_306293294.1,,replication protein RepA,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_306293295.1,tap,RepA leader peptide Tap,,"GO:0006276,GO:0031556"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000002800.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000016656.1,,O-methyltransferase,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000020040.1,hutX,heme utilization cystosolic carrier protein HutX,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000022311.1,,AIPR family protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000041756.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000051061.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000059872.1,,adhesion domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000061477.1,,type I restriction endonuclease,"DNA binding|0003677||IEA,endonuclease activity|0004519||IEA","GO:0006304,GO:0003677,GO:0004519"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000067534.1,,site-specific integrase,DNA binding|0003677||IEA,"GO:0006310,GO:0015074,GO:0003677"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000088867.1,vasI,type VI secretion system-associated protein VasI,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000096174.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000104482.1,,GlxA family transcriptional regulator,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA","GO:0006355,GO:0003677,GO:0003700"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000107690.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000123123.1,,phage holin family protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000124159.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000132937.1,,head processing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000138556.1,,ATP-binding protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000170155.1,,3-hydroxybenzoate 6-monooxygenase,FAD binding|0071949||IEA,GO:0071949
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000182337.1,,NADH-dependent flavin oxidoreductase,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000197506.1,,Imm57 family immunity protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000202113.1,,TetR/AcrR family transcriptional regulator,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA","GO:0006355,GO:0003677,GO:0003700"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000209797.1,,carboxymuconolactone decarboxylase family protein,peroxiredoxin activity|0051920||IEA,GO:0051920
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000212025.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000217670.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000224043.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000234830.1,,DUF3927 family protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000236740.1,,GGDEF domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000260286.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000301062.1,,TOBE domain-containing protein,,GO:0015689
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000301065.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000336812.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000365809.1,,nucleotidyl transferase AbiEii/AbiGii toxin family protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000369322.1,,pentapeptide repeat-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000404121.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000484111.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000494465.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000499746.1,,type II toxin-antitoxin system HicB family antitoxin,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000502112.1,tnpA,IS200/IS605 family transposase,transposase activity|0004803||IEA,GO:0004803
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000511502.1,dsbI,protein-disulfide oxidoreductase DsbI,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000523980.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000535202.1,,baseplate protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000542385.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000548273.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000576818.1,modD,ModD protein,nicotinate-nucleotide diphosphorylase (carboxylating) activity|0004514||IEA,GO:0004514
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000580776.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000611666.1,,phage repressor protein C1,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000613115.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000660217.1,,MFS transporter,transmembrane transporter activity|0022857||IEA,"GO:0055085,GO:0022857"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000660977.1,,Dam family site-specific DNA-(adenine-N6)-methyltransferase,site-specific DNA-methyltransferase (adenine-specific) activity|0009007||IEA,"GO:0009307,GO:0009007"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000684845.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000691857.1,,MBL fold metallo-hydrolase,"hydrolase activity|0016787||IEA,metal ion binding|0046872||IEA","GO:0016787,GO:0046872"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000694679.1,sctC,type III secretion system outer membrane ring subunit SctC,,GO:0009306
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000759930.1,,fimbrial protein,,"GO:0007155,GO:0009289"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000769435.1,,DUF4304 domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000781176.1,maiA,maleylacetoacetate isomerase,maleylacetoacetate isomerase activity|0016034||IEA,"GO:0006559,GO:0006572,GO:0016034,GO:0005737"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000804518.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000806622.1,,SinI family autotransporter-associated protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000833473.1,,type II toxin-antitoxin system HicA family toxin,mRNA binding|0003729||IEA,GO:0003729
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000840931.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000848790.1,,DUF1471 domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000861664.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000874156.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000887652.1,,phage holin family protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000896806.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000900641.1,,tellurite resistance TerB family protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000904003.1,,class I SAM-dependent methyltransferase,"methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA","GO:0008168,GO:1904047"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_000943607.1,,VRR-NUC domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001000710.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001001643.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001004422.1,,RecT family recombinase,DNA binding|0003677||IEA,"GO:0006310,GO:0003677"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001005162.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001031303.1,,phage tail assembly protein,,GO:0098003
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001036747.1,,winged helix-turn-helix domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001038643.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001052917.1,,glycosyltransferase family 25 protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001077735.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001080149.1,tssJ,type VI secretion system lipoprotein TssJ,,GO:0033103
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001100703.1,,DNA cytosine methyltransferase,"DNA binding|0003677||IEA,DNA (cytosine-5-)-methyltransferase activity|0003886||IEA,methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA","GO:0006304,GO:0003677,GO:0003886,GO:0008168,GO:1904047"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001113717.1,tagH,type VI secretion system-associated FHA domain protein TagH,,GO:0033103
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001138434.1,,PLP-dependent aminotransferase family protein,pyridoxal phosphate binding|0030170||IEA,GO:0030170
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001139678.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001154687.1,,GIY-YIG nuclease family protein,nuclease activity|0004518||IEA,GO:0004518
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001165936.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001177864.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001183326.1,,NACHT domain-containing protein,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA","GO:0005524,GO:0016887"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001198665.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001240537.1,tssA,type VI secretion system protein TssA,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001277954.1,,DUF5405 family protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001281116.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001284719.1,,EscU/YscU/HrcU family type III secretion system export apparatus switch protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001287361.1,yldA,small membrane protein YldA,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001305821.1,,GhoT/OrtT family toxin,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001305988.1,,iron-siderophore ABC transporter substrate-binding protein,"ATP binding|0005524||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA","GO:0015891,GO:0005524,GO:0042626,GO:0140359"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001306384.1,,helix-turn-helix domain-containing protein,DNA binding|0003677||IEA,GO:0003677
