cluster,protein,genome,protein_id,gene,locus_tag,product,go_function,ontology_term
GCF_000597845.1|WP_000028114.1,GCF_000597845.1|WP_000028114.1,GCF_000597845.1,WP_000028114.1,melB,BU34_RS13095,melibiose:sodium transporter MelB,"symporter activity|0015293||IEA,transmembrane transporter activity|0022857||IEA","GO:0006814,GO:0008643,GO:0015293,GO:0022857,GO:0016020"
GCF_000597845.1|WP_000028114.1,GCF_000599665.1|WP_000028114.1,GCF_000599665.1,WP_000028114.1,melB,CF58_RS01520,melibiose:sodium transporter MelB,"symporter activity|0015293||IEA,transmembrane transporter activity|0022857||IEA","GO:0006814,GO:0008643,GO:0015293,GO:0022857,GO:0016020"
GCF_000597845.1|WP_000028114.1,GCF_000801165.1|WP_000028114.1,GCF_000801165.1,WP_000028114.1,melB,HW42_RS02205,melibiose:sodium transporter MelB,"symporter activity|0015293||IEA,transmembrane transporter activity|0022857||IEA","GO:0006814,GO:0008643,GO:0015293,GO:0022857,GO:0016020"
GCF_000597845.1|WP_000028114.1,GCF_000801185.2|WP_000028114.1,GCF_000801185.2,WP_000028114.1,melB,HW43_RS02255,melibiose:sodium transporter MelB,"symporter activity|0015293||IEA,transmembrane transporter activity|0022857||IEA","GO:0006814,GO:0008643,GO:0015293,GO:0022857,GO:0016020"
GCF_000597845.1|WP_000028114.1,GCF_000830035.1|WP_041142644.1,GCF_000830035.1,WP_041142644.1,melB,TH69_RS21000,melibiose:sodium transporter MelB,"symporter activity|0015293||IEA,transmembrane transporter activity|0022857||IEA","GO:0006814,GO:0008643,GO:0015293,GO:0022857,GO:0016020"
GCF_000597845.1|WP_000028114.1,GCF_000833145.1|WP_000028114.1,GCF_000833145.1,WP_000028114.1,melB,SR36_RS20810,melibiose:sodium transporter MelB,"symporter activity|0015293||IEA,transmembrane transporter activity|0022857||IEA","GO:0006814,GO:0008643,GO:0015293,GO:0022857,GO:0016020"
GCF_000597845.1|WP_000028114.1,GCF_000833635.2|WP_000028111.1,GCF_000833635.2,WP_000028111.1,melB,USML2_RS02660,melibiose:sodium transporter MelB,"symporter activity|0015293||IEA,transmembrane transporter activity|0022857||IEA","GO:0006814,GO:0008643,GO:0015293,GO:0022857,GO:0016020"
GCF_000597845.1|WP_000028114.1,GCF_000952955.1|WP_000028111.1,GCF_000952955.1,WP_000028111.1,melB,ECRV308_RS21125,melibiose:sodium transporter MelB,"symporter activity|0015293||IEA,transmembrane transporter activity|0022857||IEA","GO:0006814,GO:0008643,GO:0015293,GO:0022857,GO:0016020"
GCF_000597845.1|WP_000028114.1,GCF_000953515.1|WP_000028111.1,GCF_000953515.1,WP_000028111.1,melB,ECHMS174_RS21100,melibiose:sodium transporter MelB,"symporter activity|0015293||IEA,transmembrane transporter activity|0022857||IEA","GO:0006814,GO:0008643,GO:0015293,GO:0022857,GO:0016020"
GCF_000597845.1|WP_000028114.1,GCF_000971615.1|WP_046201571.1,GCF_000971615.1,WP_046201571.1,melB,VK74_RS14470,melibiose:sodium transporter MelB,"symporter activity|0015293||IEA,transmembrane transporter activity|0022857||IEA","GO:0006814,GO:0008643,GO:0015293,GO:0022857,GO:0016020"
GCF_000597845.1|WP_000028540.1,GCF_000597845.1|WP_000028540.1,GCF_000597845.1,WP_000028540.1,yciC,BU34_RS21470,YciC family protein,,
GCF_000597845.1|WP_000028540.1,GCF_000599665.1|WP_000028546.1,GCF_000599665.1,WP_000028546.1,yciC,CF58_RS09550,YciC family protein,,
GCF_000597845.1|WP_000028540.1,GCF_000801165.1|WP_000028531.1,GCF_000801165.1,WP_000028531.1,yciC,HW42_RS10710,YciC family protein,,
GCF_000597845.1|WP_000028540.1,GCF_000801185.2|WP_000028540.1,GCF_000801185.2,WP_000028540.1,yciC,HW43_RS10270,YciC family protein,,
GCF_000597845.1|WP_000028540.1,GCF_000830035.1|WP_000028540.1,GCF_000830035.1,WP_000028540.1,yciC,TH69_RS06555,YciC family protein,,
GCF_000597845.1|WP_000028540.1,GCF_000833145.1|WP_000028540.1,GCF_000833145.1,WP_000028540.1,yciC,SR36_RS06350,YciC family protein,,
GCF_000597845.1|WP_000028540.1,GCF_000833635.2|WP_000028545.1,GCF_000833635.2,WP_000028545.1,yciC,USML2_RS18160,YciC family protein,,
GCF_000597845.1|WP_000028540.1,GCF_000952955.1|WP_000028545.1,GCF_000952955.1,WP_000028545.1,yciC,ECRV308_RS06310,YciC family protein,,
GCF_000597845.1|WP_000028540.1,GCF_000953515.1|WP_000028545.1,GCF_000953515.1,WP_000028545.1,yciC,ECHMS174_RS06445,YciC family protein,,
GCF_000597845.1|WP_000028540.1,GCF_000971615.1|WP_000028540.1,GCF_000971615.1,WP_000028540.1,yciC,VK74_RS05745,YciC family protein,,
GCF_000597845.1|WP_000028540.1,GCF_000987875.1|WP_000028545.1,GCF_000987875.1,WP_000028545.1,yciC,DP32_RS07430,YciC family protein,,
GCF_000597845.1|WP_000028878.1,GCF_000597845.1|WP_000028878.1,GCF_000597845.1,WP_000028878.1,rplL,BU34_RS13810,50S ribosomal protein L7/L12,structural constituent of ribosome|0003735||IEA,"GO:0006412,GO:0003735,GO:0005840"
GCF_000597845.1|WP_000028878.1,GCF_000599665.1|WP_000028878.1,GCF_000599665.1,WP_000028878.1,rplL,CF58_RS00770,50S ribosomal protein L7/L12,structural constituent of ribosome|0003735||IEA,"GO:0006412,GO:0003735,GO:0005840"
GCF_000597845.1|WP_000028878.1,GCF_000801165.1|WP_000028878.1,GCF_000801165.1,WP_000028878.1,rplL,HW42_RS01495,50S ribosomal protein L7/L12,structural constituent of ribosome|0003735||IEA,"GO:0006412,GO:0003735,GO:0005840"
GCF_000597845.1|WP_000028878.1,GCF_000801185.2|WP_000028878.1,GCF_000801185.2,WP_000028878.1,rplL,HW43_RS01530,50S ribosomal protein L7/L12,structural constituent of ribosome|0003735||IEA,"GO:0006412,GO:0003735,GO:0005840"
GCF_000597845.1|WP_000028878.1,GCF_000830035.1|WP_000028878.1,GCF_000830035.1,WP_000028878.1,rplL,TH69_RS20280,50S ribosomal protein L7/L12,structural constituent of ribosome|0003735||IEA,"GO:0006412,GO:0003735,GO:0005840"
GCF_000597845.1|WP_000028878.1,GCF_000833145.1|WP_000028878.1,GCF_000833145.1,WP_000028878.1,rplL,SR36_RS20090,50S ribosomal protein L7/L12,structural constituent of ribosome|0003735||IEA,"GO:0006412,GO:0003735,GO:0005840"
GCF_000597845.1|WP_000028878.1,GCF_000833635.2|WP_000028878.1,GCF_000833635.2,WP_000028878.1,rplL,USML2_RS03450,50S ribosomal protein L7/L12,structural constituent of ribosome|0003735||IEA,"GO:0006412,GO:0003735,GO:0005840"
GCF_000597845.1|WP_000028878.1,GCF_000952955.1|WP_000028878.1,GCF_000952955.1,WP_000028878.1,rplL,ECRV308_RS20410,50S ribosomal protein L7/L12,structural constituent of ribosome|0003735||IEA,"GO:0006412,GO:0003735,GO:0005840"
GCF_000597845.1|WP_000028878.1,GCF_000953515.1|WP_000028878.1,GCF_000953515.1,WP_000028878.1,rplL,ECHMS174_RS16835,50S ribosomal protein L7/L12,structural constituent of ribosome|0003735||IEA,"GO:0006412,GO:0003735,GO:0005840"
GCF_000597845.1|WP_000028878.1,GCF_000971615.1|WP_000028878.1,GCF_000971615.1,WP_000028878.1,rplL,VK74_RS15190,50S ribosomal protein L7/L12,structural constituent of ribosome|0003735||IEA,"GO:0006412,GO:0003735,GO:0005840"
GCF_000597845.1|WP_000028878.1,GCF_000987875.1|WP_000028878.1,GCF_000987875.1,WP_000028878.1,rplL,DP32_RS23100,50S ribosomal protein L7/L12,structural constituent of ribosome|0003735||IEA,"GO:0006412,GO:0003735,GO:0005840"
GCF_000597845.1|WP_000028953.1,GCF_000597845.1|WP_000028953.1,GCF_000597845.1,WP_000028953.1,iscA,BU34_RS17165,iron-sulfur cluster assembly protein IscA,,
GCF_000597845.1|WP_000028953.1,GCF_000599665.1|WP_000028953.1,GCF_000599665.1,WP_000028953.1,iscA,CF58_RS16930,iron-sulfur cluster assembly protein IscA,,
GCF_000597845.1|WP_000028953.1,GCF_000801165.1|WP_000028953.1,GCF_000801165.1,WP_000028953.1,iscA,HW42_RS17900,iron-sulfur cluster assembly protein IscA,,
GCF_000597845.1|WP_000028953.1,GCF_000801185.2|WP_000028953.1,GCF_000801185.2,WP_000028953.1,iscA,HW43_RS17520,iron-sulfur cluster assembly protein IscA,,
GCF_000597845.1|WP_000028953.1,GCF_000830035.1|WP_000028953.1,GCF_000830035.1,WP_000028953.1,iscA,TH69_RS12585,iron-sulfur cluster assembly protein IscA,,
GCF_000597845.1|WP_000028953.1,GCF_000833145.1|WP_000028953.1,GCF_000833145.1,WP_000028953.1,iscA,SR36_RS12380,iron-sulfur cluster assembly protein IscA,,
GCF_000597845.1|WP_000028953.1,GCF_000833635.2|WP_000028953.1,GCF_000833635.2,WP_000028953.1,iscA,USML2_RS11240,iron-sulfur cluster assembly protein IscA,,
GCF_000597845.1|WP_000028953.1,GCF_000952955.1|WP_000028953.1,GCF_000952955.1,WP_000028953.1,iscA,ECRV308_RS12905,iron-sulfur cluster assembly protein IscA,,
GCF_000597845.1|WP_000028953.1,GCF_000953515.1|WP_000028953.1,GCF_000953515.1,WP_000028953.1,iscA,ECHMS174_RS12915,iron-sulfur cluster assembly protein IscA,,
GCF_000597845.1|WP_000028953.1,GCF_000971615.1|WP_000028953.1,GCF_000971615.1,WP_000028953.1,iscA,VK74_RS23140,iron-sulfur cluster assembly protein IscA,,
GCF_000597845.1|WP_000028953.1,GCF_000987875.1|WP_000028953.1,GCF_000987875.1,WP_000028953.1,iscA,DP32_RS14600,iron-sulfur cluster assembly protein IscA,,
GCF_000597845.1|WP_000028953.1,GCF_000597845.1|WP_000367160.1,GCF_000597845.1,WP_000367160.1,sufA,BU34_RS19350,Fe-S cluster assembly scaffold SufA,,
GCF_000597845.1|WP_000028953.1,GCF_000599665.1|WP_000367171.1,GCF_000599665.1,WP_000367171.1,sufA,CF58_RS12385,Fe-S cluster assembly scaffold SufA,,
GCF_000597845.1|WP_000028953.1,GCF_000801165.1|WP_000367160.1,GCF_000801165.1,WP_000367160.1,sufA,HW42_RS13010,Fe-S cluster assembly scaffold SufA,,
GCF_000597845.1|WP_000028953.1,GCF_000801185.2|WP_000367160.1,GCF_000801185.2,WP_000367160.1,sufA,HW43_RS12575,Fe-S cluster assembly scaffold SufA,,
GCF_000597845.1|WP_000028953.1,GCF_000833635.2|WP_000367160.1,GCF_000833635.2,WP_000367160.1,sufA,USML2_RS15770,Fe-S cluster assembly scaffold SufA,,
GCF_000597845.1|WP_000028953.1,GCF_000952955.1|WP_000367160.1,GCF_000952955.1,WP_000367160.1,sufA,ECRV308_RS08565,Fe-S cluster assembly scaffold SufA,,
GCF_000597845.1|WP_000028953.1,GCF_000953515.1|WP_000367160.1,GCF_000953515.1,WP_000367160.1,sufA,ECHMS174_RS08525,Fe-S cluster assembly scaffold SufA,,
GCF_000597845.1|WP_000028953.1,GCF_000971615.1|WP_000367160.1,GCF_000971615.1,WP_000367160.1,sufA,VK74_RS03525,Fe-S cluster assembly scaffold SufA,,
GCF_000597845.1|WP_000028953.1,GCF_000987875.1|WP_000367161.1,GCF_000987875.1,WP_000367161.1,sufA,DP32_RS09350,Fe-S cluster assembly scaffold SufA,,
GCF_000597845.1|WP_000028953.1,GCF_000597845.1|WP_001295564.1,GCF_000597845.1,WP_001295564.1,erpA,BU34_RS05820,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster binding|0051536||IEA,"GO:0016226,GO:0051536"
GCF_000597845.1|WP_000028953.1,GCF_000599665.1|WP_025234896.1,GCF_000599665.1,WP_025234896.1,erpA,CF58_RS03815,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster binding|0051536||IEA,"GO:0016226,GO:0051536"
GCF_000597845.1|WP_000028953.1,GCF_000801165.1|WP_001295564.1,GCF_000801165.1,WP_001295564.1,erpA,HW42_RS04520,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster binding|0051536||IEA,"GO:0016226,GO:0051536"
GCF_000597845.1|WP_000028953.1,GCF_000801185.2|WP_001295564.1,GCF_000801185.2,WP_001295564.1,erpA,HW43_RS04645,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster binding|0051536||IEA,"GO:0016226,GO:0051536"
GCF_000597845.1|WP_000028953.1,GCF_000830035.1|WP_001295564.1,GCF_000830035.1,WP_001295564.1,erpA,TH69_RS00810,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster binding|0051536||IEA,"GO:0016226,GO:0051536"
GCF_000597845.1|WP_000028953.1,GCF_000833145.1|WP_001295564.1,GCF_000833145.1,WP_001295564.1,erpA,SR36_RS00810,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster binding|0051536||IEA,"GO:0016226,GO:0051536"
GCF_000597845.1|WP_000028953.1,GCF_000833635.2|WP_001295564.1,GCF_000833635.2,WP_001295564.1,erpA,USML2_RS00255,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster binding|0051536||IEA,"GO:0016226,GO:0051536"
GCF_000597845.1|WP_000028953.1,GCF_000952955.1|WP_001295564.1,GCF_000952955.1,WP_001295564.1,erpA,ECRV308_RS00795,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster binding|0051536||IEA,"GO:0016226,GO:0051536"
GCF_000597845.1|WP_000028953.1,GCF_000953515.1|WP_001295564.1,GCF_000953515.1,WP_001295564.1,erpA,ECHMS174_RS00795,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster binding|0051536||IEA,"GO:0016226,GO:0051536"
GCF_000597845.1|WP_000028953.1,GCF_000971615.1|WP_001295564.1,GCF_000971615.1,WP_001295564.1,erpA,VK74_RS12240,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster binding|0051536||IEA,"GO:0016226,GO:0051536"
GCF_000597845.1|WP_000028953.1,GCF_000987875.1|WP_001295564.1,GCF_000987875.1,WP_001295564.1,erpA,DP32_RS00805,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster binding|0051536||IEA,"GO:0016226,GO:0051536"
GCF_000597845.1|WP_000029611.1,GCF_000597845.1|WP_000029611.1,GCF_000597845.1,WP_000029611.1,norV,BU34_RS11995,anaerobic nitric oxide reductase flavorubredoxin,"electron transfer activity|0009055||IEA,FMN binding|0010181||IEA,nitric oxide reductase activity|0016966||IEA,metal ion binding|0046872||IEA","GO:0009055,GO:0010181,GO:0016966,GO:0046872"
GCF_000597845.1|WP_000029611.1,GCF_000599665.1|WP_000029622.1,GCF_000599665.1,WP_000029622.1,norV,CF58_RS17790,anaerobic nitric oxide reductase flavorubredoxin,"electron transfer activity|0009055||IEA,FMN binding|0010181||IEA,nitric oxide reductase activity|0016966||IEA,metal ion binding|0046872||IEA","GO:0009055,GO:0010181,GO:0016966,GO:0046872"
GCF_000597845.1|WP_000029611.1,GCF_000801165.1|WP_000029622.1,GCF_000801165.1,WP_000029622.1,norV,HW42_RS18690,anaerobic nitric oxide reductase flavorubredoxin,"electron transfer activity|0009055||IEA,FMN binding|0010181||IEA,nitric oxide reductase activity|0016966||IEA,metal ion binding|0046872||IEA","GO:0009055,GO:0010181,GO:0016966,GO:0046872"
GCF_000597845.1|WP_000029611.1,GCF_000801185.2|WP_021293351.1,GCF_000801185.2,WP_021293351.1,norV,HW43_RS18310,anaerobic nitric oxide reductase flavorubredoxin,"electron transfer activity|0009055||IEA,FMN binding|0010181||IEA,nitric oxide reductase activity|0016966||IEA,metal ion binding|0046872||IEA","GO:0009055,GO:0010181,GO:0016966,GO:0046872"
GCF_000597845.1|WP_000029611.1,GCF_000830035.1|WP_000029611.1,GCF_000830035.1,WP_000029611.1,norV,TH69_RS13370,anaerobic nitric oxide reductase flavorubredoxin,"electron transfer activity|0009055||IEA,FMN binding|0010181||IEA,nitric oxide reductase activity|0016966||IEA,metal ion binding|0046872||IEA","GO:0009055,GO:0010181,GO:0016966,GO:0046872"
GCF_000597845.1|WP_000029611.1,GCF_000833145.1|WP_000029611.1,GCF_000833145.1,WP_000029611.1,norV,SR36_RS13165,anaerobic nitric oxide reductase flavorubredoxin,"electron transfer activity|0009055||IEA,FMN binding|0010181||IEA,nitric oxide reductase activity|0016966||IEA,metal ion binding|0046872||IEA","GO:0009055,GO:0010181,GO:0016966,GO:0046872"
GCF_000597845.1|WP_000029611.1,GCF_000833635.2|WP_000029634.1,GCF_000833635.2,WP_000029634.1,norV,USML2_RS10290,anaerobic nitric oxide reductase flavorubredoxin,"electron transfer activity|0009055||IEA,FMN binding|0010181||IEA,nitric oxide reductase activity|0016966||IEA,metal ion binding|0046872||IEA","GO:0009055,GO:0010181,GO:0016966,GO:0046872"
GCF_000597845.1|WP_000029611.1,GCF_000952955.1|WP_000029634.1,GCF_000952955.1,WP_000029634.1,norV,ECRV308_RS13825,anaerobic nitric oxide reductase flavorubredoxin,"electron transfer activity|0009055||IEA,FMN binding|0010181||IEA,nitric oxide reductase activity|0016966||IEA,metal ion binding|0046872||IEA","GO:0009055,GO:0010181,GO:0016966,GO:0046872"
GCF_000597845.1|WP_000029611.1,GCF_000953515.1|WP_000029634.1,GCF_000953515.1,WP_000029634.1,norV,ECHMS174_RS13835,anaerobic nitric oxide reductase flavorubredoxin,"electron transfer activity|0009055||IEA,FMN binding|0010181||IEA,nitric oxide reductase activity|0016966||IEA,metal ion binding|0046872||IEA","GO:0009055,GO:0010181,GO:0016966,GO:0046872"
GCF_000597845.1|WP_000029611.1,GCF_000971615.1|WP_000029622.1,GCF_000971615.1,WP_000029622.1,norV,VK74_RS22350,anaerobic nitric oxide reductase flavorubredoxin,"electron transfer activity|0009055||IEA,FMN binding|0010181||IEA,nitric oxide reductase activity|0016966||IEA,metal ion binding|0046872||IEA","GO:0009055,GO:0010181,GO:0016966,GO:0046872"
GCF_000597845.1|WP_000029611.1,GCF_000987875.1|WP_000029611.1,GCF_000987875.1,WP_000029611.1,norV,DP32_RS15755,anaerobic nitric oxide reductase flavorubredoxin,"electron transfer activity|0009055||IEA,FMN binding|0010181||IEA,nitric oxide reductase activity|0016966||IEA,metal ion binding|0046872||IEA","GO:0009055,GO:0010181,GO:0016966,GO:0046872"
GCF_000597845.1|WP_000030016.1,GCF_000597845.1|WP_000030016.1,GCF_000597845.1,WP_000030016.1,kdsC,BU34_RS09470,3-deoxy-manno-octulosonate-8-phosphatase KdsC,hydrolase activity%2C acting on ester bonds|0016788||IEA,GO:0016788
GCF_000597845.1|WP_000030016.1,GCF_000599665.1|WP_000030006.1,GCF_000599665.1,WP_000030006.1,kdsC,CF58_RS20545,3-deoxy-manno-octulosonate-8-phosphatase KdsC,hydrolase activity%2C acting on ester bonds|0016788||IEA,GO:0016788
GCF_000597845.1|WP_000030016.1,GCF_000801165.1|WP_000030016.1,GCF_000801165.1,WP_000030016.1,kdsC,HW42_RS21435,3-deoxy-manno-octulosonate-8-phosphatase KdsC,hydrolase activity%2C acting on ester bonds|0016788||IEA,GO:0016788
GCF_000597845.1|WP_000030016.1,GCF_000801185.2|WP_000030016.1,GCF_000801185.2,WP_000030016.1,kdsC,HW43_RS21565,3-deoxy-manno-octulosonate-8-phosphatase KdsC,hydrolase activity%2C acting on ester bonds|0016788||IEA,GO:0016788
GCF_000597845.1|WP_000030016.1,GCF_000830035.1|WP_000030016.1,GCF_000830035.1,WP_000030016.1,kdsC,TH69_RS15955,3-deoxy-manno-octulosonate-8-phosphatase KdsC,hydrolase activity%2C acting on ester bonds|0016788||IEA,GO:0016788
GCF_000597845.1|WP_000030016.1,GCF_000833145.1|WP_000030016.1,GCF_000833145.1,WP_000030016.1,kdsC,SR36_RS15750,3-deoxy-manno-octulosonate-8-phosphatase KdsC,hydrolase activity%2C acting on ester bonds|0016788||IEA,GO:0016788
GCF_000597845.1|WP_000030016.1,GCF_000833635.2|WP_000030005.1,GCF_000833635.2,WP_000030005.1,kdsC,USML2_RS07735,3-deoxy-manno-octulosonate-8-phosphatase KdsC,hydrolase activity%2C acting on ester bonds|0016788||IEA,GO:0016788
GCF_000597845.1|WP_000030016.1,GCF_000952955.1|WP_000030005.1,GCF_000952955.1,WP_000030005.1,kdsC,ECRV308_RS16295,3-deoxy-manno-octulosonate-8-phosphatase KdsC,hydrolase activity%2C acting on ester bonds|0016788||IEA,GO:0016788
GCF_000597845.1|WP_000030016.1,GCF_000953515.1|WP_000030005.1,GCF_000953515.1,WP_000030005.1,kdsC,ECHMS174_RS16310,3-deoxy-manno-octulosonate-8-phosphatase KdsC,hydrolase activity%2C acting on ester bonds|0016788||IEA,GO:0016788
GCF_000597845.1|WP_000030016.1,GCF_000971615.1|WP_000030016.1,GCF_000971615.1,WP_000030016.1,kdsC,VK74_RS19295,3-deoxy-manno-octulosonate-8-phosphatase KdsC,hydrolase activity%2C acting on ester bonds|0016788||IEA,GO:0016788
GCF_000597845.1|WP_000030016.1,GCF_000987875.1|WP_000030005.1,GCF_000987875.1,WP_000030005.1,kdsC,DP32_RS18820,3-deoxy-manno-octulosonate-8-phosphatase KdsC,hydrolase activity%2C acting on ester bonds|0016788||IEA,GO:0016788
GCF_000597845.1|WP_000030537.1,GCF_000597845.1|WP_000030537.1,GCF_000597845.1,WP_000030537.1,lptC,BU34_RS09465,LPS export ABC transporter periplasmic protein LptC,,
GCF_000597845.1|WP_000030537.1,GCF_000599665.1|WP_000030537.1,GCF_000599665.1,WP_000030537.1,lptC,CF58_RS20550,LPS export ABC transporter periplasmic protein LptC,,
GCF_000597845.1|WP_000030537.1,GCF_000801165.1|WP_000030537.1,GCF_000801165.1,WP_000030537.1,lptC,HW42_RS21440,LPS export ABC transporter periplasmic protein LptC,,
GCF_000597845.1|WP_000030537.1,GCF_000801185.2|WP_000030537.1,GCF_000801185.2,WP_000030537.1,lptC,HW43_RS21570,LPS export ABC transporter periplasmic protein LptC,,
GCF_000597845.1|WP_000030537.1,GCF_000830035.1|WP_000030530.1,GCF_000830035.1,WP_000030530.1,lptC,TH69_RS15960,LPS export ABC transporter periplasmic protein LptC,,
GCF_000597845.1|WP_000030537.1,GCF_000833145.1|WP_000030530.1,GCF_000833145.1,WP_000030530.1,lptC,SR36_RS15755,LPS export ABC transporter periplasmic protein LptC,,
GCF_000597845.1|WP_000030537.1,GCF_000833635.2|WP_000030537.1,GCF_000833635.2,WP_000030537.1,lptC,USML2_RS07730,LPS export ABC transporter periplasmic protein LptC,,
